[2026-01-23 23:05:05,609] 17 - root - INFO - Initiate the data ingestion
[2026-01-23 23:05:07,588] 55 - root - INFO - Performed train test split on the dataframe
[2026-01-23 23:05:07,589] 57 - root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-23 23:05:07,589] 65 - root - INFO - Exporting train and test file path.
[2026-01-23 23:05:07,629] 74 - root - INFO - Exported train and test file path.
[2026-01-23 23:05:07,629] 19 - root - INFO - Data Initiation Completed
[2026-01-23 23:05:07,635] 23 - root - INFO - Initiate the Data Validation
[2026-01-23 23:05:07,684] 31 - root - INFO - Required number of columns:2
[2026-01-23 23:05:07,685] 32 - root - INFO - Data frame has columns:31
[2026-01-23 23:05:07,685] 31 - root - INFO - Required number of columns:2
[2026-01-23 23:05:07,685] 32 - root - INFO - Data frame has columns:31
[2026-01-23 23:05:07,789] 25 - root - INFO - Data Validation Completed
[2026-01-23 23:05:07,789] 28 - root - INFO - Data Transformation Started
[2026-01-23 23:05:07,789] 50 - root - INFO - entered initiate_data_tranformation method of DataTransformation class
[2026-01-23 23:05:07,789] 52 - root - INFO - starting Data Transformation
[2026-01-23 23:05:07,806] 36 - root - INFO - entered get_data_transformation_object method of DataTransformation
[2026-01-23 23:05:07,806] 39 - root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-23 23:05:07,821] 45 - root - INFO - entered the save_object method of mainutils class
[2026-01-23 23:05:07,823] 49 - root - INFO - excited the save_object method of mainutils class
[2026-01-23 23:05:07,825] 32 - root - INFO - Data Transformation Completed
[2026-01-23 23:05:07,825] 34 - root - INFO - model training started
