[2026-01-25 19:43:13,599] 17 - root - INFO - Initiate the data ingestion
[2026-01-25 19:43:24,074] 55 - root - INFO - Performed train test split on the dataframe
[2026-01-25 19:43:24,074] 57 - root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-25 19:43:24,075] 65 - root - INFO - Exporting train and test file path.
[2026-01-25 19:43:24,151] 74 - root - INFO - Exported train and test file path.
[2026-01-25 19:43:24,152] 19 - root - INFO - Data Initiation Completed
[2026-01-25 19:43:24,172] 23 - root - INFO - Initiate the Data Validation
[2026-01-25 19:43:24,228] 31 - root - INFO - Required number of columns:2
[2026-01-25 19:43:24,228] 32 - root - INFO - Data frame has columns:31
[2026-01-25 19:43:24,228] 31 - root - INFO - Required number of columns:2
[2026-01-25 19:43:24,229] 32 - root - INFO - Data frame has columns:31
[2026-01-25 19:43:24,361] 25 - root - INFO - Data Validation Completed
[2026-01-25 19:43:24,362] 28 - root - INFO - Data Transformation Started
[2026-01-25 19:43:24,362] 50 - root - INFO - entered initiate_data_tranformation method of DataTransformation class
[2026-01-25 19:43:24,362] 52 - root - INFO - starting Data Transformation
[2026-01-25 19:43:24,378] 36 - root - INFO - entered get_data_transformation_object method of DataTransformation
[2026-01-25 19:43:24,378] 39 - root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-25 19:43:24,388] 45 - root - INFO - entered the save_object method of mainutils class
[2026-01-25 19:43:24,390] 49 - root - INFO - excited the save_object method of mainutils class
[2026-01-25 19:43:24,391] 32 - root - INFO - Data Transformation Completed
[2026-01-25 19:43:24,391] 34 - root - INFO - model training started
[2026-01-25 19:47:31,981] 45 - root - INFO - entered the save_object method of mainutils class
[2026-01-25 19:47:32,014] 49 - root - INFO - excited the save_object method of mainutils class
[2026-01-25 19:47:32,014] 112 - root - INFO - model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_25_2026_19_43_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913503612496184, precision_score=0.9894373349583587, recall_score=0.9932707993474714), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.972972972972973, precision_score=0.9691211401425178, recall_score=0.9768555466879489))
[2026-01-25 19:47:32,016] 39 - root - INFO - Model Training artifact created
